Nombre,Periodo,Fecha de inicio del periodo,Fecha de fin del periodo,Duración de conducción,Porcentaje de tiempo en conducción,Distancia,Tiempo en ralentí,Porcentaje de tiempo en ralentí,Velocidad máxima,Fecha_inicio,Fecha_fin
T263,1,2024-01-01,2024-01-31 23:59:59,0 days 00:00:00,0,0.0,0 days 00:00:00,0,0,2024-01-01,2024-01-31 23:59:59
T290,1,2024-01-01,2024-01-31 23:59:59,3 days 13:15:46.545000,11,1211.84765625,0 days 11:01:57,11,92,2024-01-01,2024-01-31 23:59:59
T298,1,2024-01-01,2024-01-31 23:59:59,8 days 14:23:53.031000,28,8595.4755859375,1 days 01:24:19,11,120,2024-01-01,2024-01-31 23:59:59
T322,1,2024-01-01,2024-01-31 23:59:59,6 days 23:03:36.439000,22,4679.41162109375,2 days 17:11:24,28,109,2024-01-01,2024-01-31 23:59:59
T337,1,2024-01-01,2024-01-31 23:59:59,0 days 06:16:10.430000,1,123.59109497070312,0 days 02:54:38,32,112,2024-01-01,2024-01-31 23:59:59
T346,1,2024-01-01,2024-01-31 23:59:59,0 days 16:25:56.851000,2,136.94863891601562,0 days 06:54:39,30,88,2024-01-01,2024-01-31 23:59:59
T349,1,2024-01-01,2024-01-31 23:59:59,0 days 00:00:00,0,0.0,0 days 00:00:00,0,0,2024-01-01,2024-01-31 23:59:59
T361,1,2024-01-01,2024-01-31 23:59:59,10 days 08:16:50.822000,33,11827.48046875,2 days 03:03:04,17,98,2024-01-01,2024-01-31 23:59:59
T363,1,2024-01-01,2024-01-31 23:59:59,9 days 15:19:57.281000,31,11050.548828125,1 days 01:26:55,10,92,2024-01-01,2024-01-31 23:59:59
T364,1,2024-01-01,2024-01-31 23:59:59,1 days 12:06:43.275000,5,1215.9727783203125,0 days 08:37:59,19,111,2024-01-01,2024-01-31 23:59:59
T365,1,2024-01-01,2024-01-31 23:59:59,0 days 00:00:00,0,0.0,0 days 00:00:00,0,0,2024-01-01,2024-01-31 23:59:59
T366,1,2024-01-01,2024-01-31 23:59:59,5 days 13:38:00.881000,18,6774.13720703125,0 days 00:20:00,0,109,2024-01-01,2024-01-31 23:59:59
T368,1,2024-01-01,2024-01-31 23:59:59,5 days 00:58:33.387000,16,6289.9873046875,5 days 07:30:49,51,107,2024-01-01,2024-01-31 23:59:59
T372,1,2024-01-01,2024-01-31 23:59:59,6 days 16:18:56.831000,22,7365.77099609375,1 days 22:49:05,23,109,2024-01-01,2024-01-31 23:59:59
T374,1,2024-01-01,2024-01-31 23:59:59,3 days 19:53:43.981000,12,3434.47607421875,0 days 17:12:48,16,109,2024-01-01,2024-01-31 23:59:59
T375,1,2024-01-01,2024-01-31 23:59:59,5 days 02:11:19.020000,16,5066.6689453125,1 days 11:40:38,23,101,2024-01-01,2024-01-31 23:59:59
T376,1,2024-01-01,2024-01-31 23:59:59,0 days 09:32:54.919000,1,195.35618591308594,0 days 02:08:54,18,77,2024-01-01,2024-01-31 23:59:59
T377,1,2024-01-01,2024-01-31 23:59:59,0 days 15:10:43.550000,2,260.39434814453125,0 days 14:06:30,48,92,2024-01-01,2024-01-31 23:59:59
T381,1,2024-01-01,2024-01-31 23:59:59,11 days 05:26:54.539000,36,13769.9892578125,4 days 10:48:05,28,98,2024-01-01,2024-01-31 23:59:59
T382,1,2024-01-01,2024-01-31 23:59:59,8 days 18:55:14.230000,28,9765.8740234375,4 days 21:41:23,36,112,2024-01-01,2024-01-31 23:59:59
T383,1,2024-01-01,2024-01-31 23:59:59,3 days 05:07:30.739000,10,1446.64794921875,0 days 23:37:09,23,94,2024-01-01,2024-01-31 23:59:59
T384,1,2024-01-01,2024-01-31 23:59:59,9 days 04:17:33.345000,30,9980.87890625,1 days 09:22:16,13,105,2024-01-01,2024-01-31 23:59:59
T387,1,2024-01-01,2024-01-31 23:59:59,6 days 05:45:37.886000,20,6534.927734375,1 days 09:23:52,18,118,2024-01-01,2024-01-31 23:59:59
T388,1,2024-01-01,2024-01-31 23:59:59,1 days 09:28:44.368000,4,515.5516357421875,0 days 17:16:57,34,83,2024-01-01,2024-01-31 23:59:59
T390,1,2024-01-01,2024-01-31 23:59:59,7 days 00:41:16.503000,23,4392.2900390625,1 days 15:26:51,19,129,2024-01-01,2024-01-31 23:59:59
T392,1,2024-01-01,2024-01-31 23:59:59,6 days 17:35:20.594000,22,8433.84765625,2 days 02:57:38,24,94,2024-01-01,2024-01-31 23:59:59
T393,1,2024-01-01,2024-01-31 23:59:59,7 days 06:48:37.363000,23,6122.60009765625,2 days 10:36:19,25,142,2024-01-01,2024-01-31 23:59:59
T394,1,2024-01-01,2024-01-31 23:59:59,0 days 00:00:00,0,0.0,0 days 00:00:00,0,0,2024-01-01,2024-01-31 23:59:59
T396,1,2024-01-01,2024-01-31 23:59:59,5 days 05:55:07.999000,17,3934.250732421875,1 days 02:16:14,17,103,2024-01-01,2024-01-31 23:59:59
