Fecha,ralenti_total_h,ralenti_h_sim,reduccion,viajes_dia,dist_total_dia,unidades_activas,weekday,month,pred
2025-01-01,76.00000896057347,86.01300119474313,-10.012992234169658,58,58,33,2,1,114.6212323562043
2025-01-02,580.3045430107527,630.2358912783751,-49.93134826762241,249,249,86,3,1,573.5262951573789
2025-01-03,907.3864157706092,948.6110649641575,-41.22464919354832,415,415,114,4,1,958.5796173261205
2025-01-04,447.0287275985663,511.64862765617,-64.61990005760367,289,289,94,5,1,608.5811713419091
2025-01-05,1002.5195340501792,1015.6685517579792,-13.1490177078,355,355,99,6,1,924.6907046471142
2025-01-06,683.9323924731183,751.6176888014166,-67.68529632829836,337,337,96,0,1,765.462110299755
2025-01-07,461.8497043010753,496.8685886243386,-35.01888432326331,258,258,95,1,1,499.5885013612591
2025-01-08,352.60732078853044,405.1693446833931,-52.56202389486265,229,229,85,2,1,415.709761851568
2025-01-09,352.9759408602151,374.81659826762245,-21.840657407407377,221,221,86,3,1,389.7131482292701
2025-01-10,363.382329749104,376.31717500853387,-12.934845259429892,156,156,73,4,1,345.2817590941995
2025-01-11,373.7574193548387,390.82907646356034,-17.071657108721638,173,173,68,5,1,385.1464192079093
2025-01-12,299.80224014336915,306.34244922341696,-6.540209080047816,142,142,59,6,1,331.7234698823668
2025-01-13,380.2303315412186,397.3681198370029,-17.137788295784276,219,219,89,0,1,403.2974022417593
2025-01-14,417.184623655914,431.6359982078853,-14.451374551971298,221,221,89,1,1,410.9787226968965
2025-01-15,297.9140681003584,322.7795978195938,-24.865529719235383,154,154,55,2,1,341.990592917939
2025-01-16,434.09777777777776,446.3357577658304,-12.237979988052588,211,211,76,3,1,458.0967010407061
2025-01-17,838.4705913978495,847.4115277777778,-8.940936379928303,369,369,82,4,1,872.1283419491727
2025-01-18,525.6156451612903,542.3402370071684,-16.72459184587808,206,206,78,5,1,506.3676085998561
2025-01-19,215.6850896057348,218.31522625448028,-2.63013664874552,101,101,54,6,1,255.1549143113156
2025-01-20,368.4259946236559,372.3010106033453,-3.8750159796893513,190,190,76,0,1,406.0462625051508
2025-01-21,291.6594534050179,296.77681242532856,-5.11735902031063,168,168,65,1,1,329.54252040226964
2025-01-22,333.8721415770609,343.0134635603345,-9.1413219832736,142,142,69,2,1,326.9886973511798
2025-01-23,316.3613172043011,324.50649701314217,-8.145179808841078,179,179,76,3,1,346.9994249968529
2025-01-24,299.52363799283154,305.73957616487456,-6.215938172043025,128,128,69,4,1,314.6373289761011
2025-01-25,304.1788261648746,314.46004241338113,-10.281216248506553,133,133,75,5,1,320.2705332310859
2025-01-26,172.32494623655916,185.33747131549757,-13.01252507893838,85,85,49,6,1,213.94551679040717
2025-01-27,590.6386917562724,604.1956759259259,-13.55698416965356,233,233,77,0,1,554.5905337626588
2025-01-28,729.8765322580646,734.9367724014337,-5.060240143369128,288,288,78,1,1,694.5254025919498
2025-01-29,473.7183154121864,473.7183154121864,0.0,152,152,56,2,1,425.4750722827701
2025-01-30,822.3718996415771,822.3718996415771,0.0,243,243,79,3,1,703.1662822882881
2025-01-31,928.5720519713262,929.8574193548388,-1.2853673835124937,364,364,85,4,1,908.7548140556216
2025-02-01,844.7250396825397,856.6984458098652,-11.973406127325577,278,278,105,5,2,790.6168731557979
2025-02-02,312.47751984126984,312.47751984126984,0.0,91,91,49,6,2,270.2460527482641
2025-02-03,471.2001388888889,477.9303318399044,-6.730192951015511,152,152,85,0,2,426.76426926170825
2025-02-04,1082.3239384920637,1091.4911357420208,-9.167197249957326,381,381,93,1,2,984.1661299502184
2025-02-05,288.55909722222225,314.05089020097284,-25.491792978750595,154,154,85,2,2,341.99052568910247
2025-02-06,219.06067460317465,225.7761298003072,-6.715455197132599,117,117,60,3,2,253.21525205097615
2025-02-07,758.8415575396825,765.4843800349889,-6.642822495306405,286,286,89,4,2,761.1116662212244
2025-02-08,249.17499007936507,259.5242507680492,-10.349260688684096,120,120,66,5,2,263.8004319912744
2025-02-09,150.00651785714285,150.00651785714285,0.0,57,57,32,6,2,154.99105128754937
2025-02-10,333.135496031746,334.54834549411163,-1.4128494623656138,133,133,69,0,2,355.00954993805954
2025-02-11,333.2654563492064,382.44434464072367,-49.178888291517296,234,234,82,1,2,451.8638773942513
2025-02-12,510.5877876984128,558.4590254309609,-47.87123773254814,251,251,96,2,2,526.8128644843048
2025-02-13,423.0156845238095,440.0914214883086,-17.07573696449907,192,192,85,3,2,442.6468560967784
2025-02-14,484.9296428571429,508.53625375490697,-23.606610897764085,218,218,81,4,2,499.5565923687013
2025-02-15,407.0177182539682,412.4888891022359,-5.4711708482676045,146,146,70,5,2,378.0210284326207
2025-02-16,512.188878968254,523.7687661930364,-11.579887224782397,191,191,64,6,2,489.3251299778479
2025-02-17,685.0015972222222,685.0015972222222,0.0,203,203,48,0,2,633.9678836589661
2025-02-18,332.7966865079365,332.7966865079365,0.0,141,141,64,1,2,337.73873372232447
2025-02-19,316.81909722222224,316.81909722222224,0.0,133,133,66,2,2,324.6808972761154
2025-02-20,438.840257936508,438.840257936508,0.0,132,132,53,3,2,396.5761520785325
2025-02-21,401.7978869047619,401.7978869047619,0.0,180,180,66,4,2,417.66525945360354
2025-02-22,330.0269642857143,330.0269642857143,0.0,110,110,53,5,2,314.3103350710452
2025-02-23,362.4166666666667,362.4166666666667,0.0,125,125,64,6,2,334.71708180231707
2025-02-24,635.2473511904763,635.2473511904763,0.0,217,217,73,0,2,606.7139729032994
2025-02-25,758.6871130952381,758.6871130952381,0.0,227,227,84,1,2,615.4021497127803
2025-02-26,648.4026488095238,691.6297799752517,-43.22713116572788,278,278,116,2,2,719.7799663388113
2025-02-27,1320.523869047619,1380.539887800819,-60.01601875320034,427,427,117,3,2,1196.2085788138822
2025-02-28,852.3300595238095,914.5269990399386,-62.19693951612908,355,355,122,4,2,929.594611427202
2025-03-01,1157.7070071684589,1169.549737753883,-11.84273058542408,300,300,87,5,3,1041.5517715720707
