Ruta,n_obs,var_time,std_time,median_time,mean_time,q25,q75,tiempo_ideal,buffer_recomendado,mean_time_safe,CV,Es_Critica
AIR SHOP/BB CANCUN PLANTA,72,30695.434859154928,175.2011268775259,47.5,77.79166666666667,35.0,65.25,47.5,271.75744240323314,77.79166666666667,2.252183741328667,False
ALPURA - PGL/WM CEDIS CHALCO,63,227.4045058883769,15.079937197759708,0.0,2.6031746031746037,0.0,1.0,0.0,19.302319613132426,2.6031746031746037,5.792902704017448,False
AURRERA CHAC MOOL CANCUN/WM CEDIS PERECEDERO VHSA,25,630376.64,793.9626187674078,1492.0,1574.16,1314.0,1751.0,1492.0,2508.272152022282,1574.16,0.5043722485436091,False
AURRERA LAS AMERICAS/CEDIS PERECEDEROS VHS,27,360354.78917378926,600.2955848361615,1074.0,1205.4074074074074,935.5,1351.5,1074.0,1842.3783485902868,1205.4074074074074,0.4980022365444713,False
AURRERA PROGRESO MERIDA/CEDIS PERECEDEROS VHS,39,254510.02834008096,504.4898694127375,1287.0,1363.8461538461538,1132.5,1462.0,1287.0,1932.747032848304,1363.8461538461538,0.36990232951864566,False
AURRERA PROGRESO MERIDA/WM CEDIS PERECEDERO VHSA,26,141395.42153846152,376.0258256269927,1237.0,1202.3076923076924,1043.75,1433.0,1237.0,1718.3130568025506,1202.3076923076924,0.31275340583179173,False
BA TLAPA GRO/WM CEDIS CHALCO,30,0.3919540229885056,0.6260623155792925,0.0,0.4333333333333333,0.0,1.0,0.0,0.8013597639414944,0.4333333333333333,1.4447591897983674,False
BB CAMPECHE OTE/BB CANCUN PLANTA,53,273368.8809869376,522.8469001408898,630.0,806.2452830188679,555.0,840.0,630.0,1299.244032180339,806.2452830188679,0.6484960732832642,False
BB CAMPECHE OTE/BB CHAMPOTON,139,7194.412470023976,84.81988251597603,95.0,125.12230215827338,82.0,127.5,95.0,203.5694496204493,125.12230215827338,0.6778957951771314,False
BB CAMPECHE OTE/BB DZITBALCHE,249,29128366.077957023,5397.070138321071,91.0,458.3333333333333,75.0,133.0,91.0,6999.249777050971,458.3333333333333,11.775425756336881,True
BB CAMPECHE OTE/BB ESCARCEGA,162,107208.160302124,327.4265723824564,205.5,300.820987654321,167.25,297.5,205.5,624.6060126495443,300.820987654321,1.088443246382491,False
