Unidad,Reduccion
T263,
T290,
T298,2786.0749790919954
T322,2760.934531746032
T325,
T337,
T346,2500.6574251792117
T349,
T361,
T363,
T364,
T365,2296.7547176565968
T366,2259.7373729091996
T368,
T370,
T372,1877.8766355180067
T374,2150.814469640724
T375,2132.0242590245775
T376,
T377,1816.5061059907835
T381,2024.0473468808668
T382,1933.7377762416795
T383,
T384,
T387,1826.9715774876258
T388,
T390,1583.8029965437788
T392,1874.6380986729819
T393,1630.3782394179893
T394,
T396,
T399,
T402,
T407,
T408,1354.8816216291175
T409,1309.9607321321898
T410,1378.1078088304316
T412,1130.1898157748765
T414,1317.58519901007
T415,1196.0564416389316
T416,1220.200767067759
T417,
T419,
T421,1082.5675670016212
T423,1124.87004885646
T424,1168.7402237796553
T427,1323.7132574244752
T428,1156.8705426480628
T431,
T433,1495.6225240975423
T435,
T436,1453.0921185035843
T437,1477.8811549752518
T440,940.1314114610001
T441,1326.837821108551
T443,765.2005853494624
T444,1301.8720736047107
T445,1007.476965011094
T446,855.2016734724356
T447,
T448,577.1883261008705
T449,
T450,1372.6240381357738
T451,655.365701271548
T452,1342.4945569316437
T453,-933.3418124466632
T454,760.166328405018
T455,
T456,1223.0046928230074
T457,1315.6106244239631
T458,549.8733118066222
T459,497.39441694401785
T461,1062.017805534221
T462,1266.0720811785288
T463,459.12342016555726
T464,1213.5476577700972
T465,1141.7466668160096
T466,1155.6075407492744
T467,414.0893940092167
T468,1224.4445566009558
T469,-598.2548402884452
T470,-17.877445105820243
T471,471.8938309865165
T472,460.11076416623996
T473,1105.806047875064
T474,-475.3583695383172
T475,1101.8031442972351
T476,456.6444260112647
T477,1091.3659462472265
T478,1071.5891991807475
T479,
T480,
T481,366.97819812468003
T482,1112.1451157087388
T483,
T484,
T485,682.1884023937532
T486,1057.8388998762587
T487,1084.304332074586
T488,
T489,1047.4595209933434
T491,682.7313354561356
T493,905.7885221774193
T494,1030.338925659242
T495,942.9943874061273
T497,991.1440136008704
T498,1029.1839588346986
T500,933.6001135859361
T501,1021.5096099697047
T502,990.935349078341
T504,1009.2318721944871
T505,803.4215290578596
T506,892.1696535671616
T509,927.0082462237583
T510,192.52174751450752
T511,868.981705943847
T513,880.1873004032259
T516,
T517,467.9222881037719
T518,942.6783200844854
T519,804.775766395716
T520,913.0957962962963
T521,921.9322654889913
T522,892.9050708632019
T523,793.6693142814473
T524,745.0072981310805
T525,894.7551260560676
T526,
T527,
T528,122.28454858977648
T529,890.1206090096433
T530,456.75801013398194
T532,
T533,179.5727294866872
T534,866.0981226105138
T535,682.4601393902543
T536,811.9146275388291
T537,708.9755357676224
T538,
T539,766.5378822751322
T540,
T541,-6426.407196748592
T542,475.9316095323434
T543,-63.01935970302088
T544,-900.6521387608807
T545,577.1850120327701
T546,532.0863545506913
T548,254.38655073391362
T549,562.9825828213006
T550,-23.067881432411696
T551,520.8217735428401
T552,658.795783922171
T553,234.82645966675204
T554,
T555,-1273.2909771718723
T556,
T557,644.0015004373613
T558,511.2619957650623
T559,439.6414875938727
T560,-82.96283336533543
T561,677.2195858294931
T562,-934.1811201676908
T563,226.3642319188428
T564,100.39241606929511
T565,-446.61681432411683
T566,-1027.0572001301416
T567,293.7807653609832
T568,318.7347434289128
T569,-2565.17700603772
T570,-662.2351955325141
T571,-503.54138661674347
T572,520.1254116423452
T573,-495.67276175541906
T574,-652.1760448882062
T575,-1644.5940630440348
T576,-875.2081528844511
T577,-2194.0505645374637
T578,-478.89050676309944
T579,
T580,-3346.2810904164535
T581,-2080.3749245818403
T582,484.02037660010245
T583,-218.15355128861574
T584,-1708.2132851275815
T585,429.4150040429254
T586,408.2987684971838
T587,
T588,-157.84021358166922
T589,
T591,
T592,
T593,
T594,491.43845037549073
T595,
T596,467.3882412101041
T597,286.74279036525
T598,-1178.5553652820445
T599,-1522.7172778951185
T600,366.015031479348
T601,-749.9880852747909
T602,-111.35099758917903
T603,407.3053384003243
T604,184.87528995989075
T605,-744.2607206861238
T606,-532.5741011904761
T607,-1382.829888579536
T609,-117.61032372205159
T610,-388.13987860556404
T611,-1438.8408429659498
T612,-1716.3502477171874
T613,
T614,168.96311021505377
T615,304.37152122802524
T616,-4270.121669162827
T617,-1755.1807066905615
T618,-2378.613940337515
T619,-3434.869606801502
T620,-4709.714491700802
T621,-2580.8246023638844
T622,-3772.7821864652674
T623,-1599.2284188428061
T624,-2114.235822367298
T625,-2922.3990190732206
T626,-5556.831500533368
T627,-1541.261985865762
T628,-3185.4327195233827
T629,-2715.9639467485918
T630,215.95176948924734
T631,
T632,-2913.0852265958356
T633,-1546.881910447602
T634,30.28175325354158
T635,
T636,-3629.452470536781
T637,-475.38515374850664
T638,179.80327002261478
T639,271.14136730884104
T640,281.9753292157365
T641,139.89937130909712
T644,-390.7421839157706
T645,-603.5825995690391
T646,-469.9857355457416
T647,222.54677456690564
T648,186.12262105308076
T650,
T651,-778.8232329535756
T652,
T653,-89.34583009045912
T654,
T655,-392.6961816222905
T656,157.13014341184504
T657,
T658,80.0391683627752
T659,4.381474473032938
T660,68.42051580901179
T661,217.38445338368322
T662,-381.644468061956
T663,169.53548197217955
T665,-1847.4929394947942
T666,-593.7677064985493
T669,
T670,218.46782422341698
T671,-220.26819007083122
T672,73.63112781618022
T673,-591.4073234767025
T674,-432.9092631635091
T675,-1627.2662872183819
T676,-465.05509000042673
T677,-557.6048585936167
T678,188.2057636542072
T679,-767.4113580709164
T680,-555.907869442311
T681,-90.85123984468339
T682,180.19024005803038
T683,158.29649289554533
T684,170.53706903908517
T685,-2843.5610978942655
T686,-2406.728708600017
T687,-1527.2734629736303
T688,-662.0083431899642
T689,-2591.1515627026797
T690,-2777.1497374338624
T691,161.7422509707288
T692,-402.74998079877116
T693,114.92086850358424
T694,100.31712253584229
T695,148.7085506379075
T696,
T697,87.66399607441542
T698,92.7091280935313
T699,111.57715928486088
T700,124.82623022273424
T701,109.96789672939067
T702,105.15368653993856
T703,116.94104467485919
T704,-453.83035768689194
T705,128.17170438641406
T706,-1343.955532514081
T707,
T708,-2015.9875483230928
T709,-4904.73394917008
T710,-1254.3241181835638
T711,20.65268184630483
T712,-51.21613533666155
T713,
T714,-160.06045637054103
T715,-170.12255800904592
T716,
T717,-124.99244322836661
T718,
T719,
T720,
T721,
T722,
T724,
T725,
T726,
T727,
T728,93.88562167178699
T729,
T730,
T732,
T735,
T736,
T737,
